Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
,,,,,,47.75,1535056.25,21994.1953125,-18974.91796875,21935.9765625,-57231.0703125,
,,,,,,48,1735523.125,22113.189453125,-19092.267578125,22079.220703125,-56760.03515625,
,,,,,,48.25,1920526,22419.93359375,-19353.6171875,22395.71484375,-56434.5,
,,,,,,48.5,2087095,22858.177734375,-19703.466796875,22828.4609375,-56220.46484375,
,,,,,,48.75,2233327.75,23347.923828125,-20117.81640625,23310.955078125,-56100.9296875,
,,,,,,49,2358050.75,23867.16796875,-20588.166015625,23816.69921875,-56118.3984375,
,,,,,,49.25,2461615.75,24455.412109375,-21108.515625,24392.6953125,-56307.359375,
,,,,,,49.5,2544712.5,25170.15625,-21692.365234375,25108.439453125,-56614.578125,
,,,,,,49.75,2606405.5,26021.150390625,-22350.71484375,25955.18359375,-56970.5390625,
,,,,,,50,2645986.5,26941.64453125,-23058.064453125,26860.677734375,-57395.7578125,
,,,,,,50.25,2664595.25,27881.390625,-23770.9140625,27802.673828125,-57935.22265625,
,,,,,,50.5,2663740.25,28839.634765625,-24473.763671875,28782.66796875,-58575.1875,
,,,,,,50.75,2644663.25,29787.12890625,-25154.61328125,29752.162109375,-59279.15234375,
,,,,,,51,2609280,30666.373046875,-25760.462890625,30658.158203125,-60018.1171875,
,,,,,,51.25,2559279,31489.6171875,-26268.3125,31508.15234375,-60770.3359375,
,,,,,,51.5,2494906,32316.61328125,-26723.662109375,32336.896484375,-61506.796875,
,,,,,,51.75,2414502.75,33165.859375,-27168.01171875,33160.890625,-62159.765625,
,,,,,,52,2314885.75,34059.3515625,-27634.361328125,34030.13671875,-62716.73046875,
,,,,,,52.25,2193374.75,35038.59375,-28138.7109375,34992.6328125,-63254.9453125,
,,,,,,52.5,2048623.5,36108.33984375,-28659.560546875,36031.875,-63838.16015625,
,,,,,,52.75,1880306.5,37235.8359375,-29189.91015625,37130.87109375,-64480.625,
,,,,,,53,1690053.375,38373.578125,-29733.759765625,38274.3671875,-65158.83984375,
,,,,,,53.25,1482324.25,39459.82421875,-30268.109375,39387.609375,-65822.5546875,
,,,,,,53.5,1263295.25,40414.3203125,-30725.95703125,40366.35546875,-66436.0234375,
,,,,,,53.75,1038962.125,41180.3125,-31053.80859375,41153.3515625,-66991.734375,
,,,,,,54,813953,41785.30859375,-31271.15625,41775.34375,-67464.703125,
,,,,,,54.25,590811.9375,42326.55078125,-31420.5078125,42314.83984375,-67832.671875,
,,,,,,54.5,369386.875,42856.046875,-31506.85546875,42814.5859375,-68085.3828125,
,,,,,,54.75,147097.78125,43315.04296875,-31497.70703125,43243.578125,-68201.34375,
,,,,,,55,-78927.3125,43661.78515625,-31388.5546875,43591.57421875,-68191.5625,
,,,,,,55.25,-310748.40625,43947.28125,-31243.90625,43898.06640625,-68076.03125,
,,,,,,55.5,-549089.5,44207.7734375,-31100.25390625,44174.3125,-67865,
,,,,,,55.75,-791226.5625,44408.01953125,-30896.60546875,44379.55859375,-67611.9609375,
,,,,,,56,-1030755.625,44478.76171875,-30567.453125,44448.55078125,-67375.171875,
,,,,,,56.25,-1260400.75,44385.0078125,-30145.3046875,44351.046875,-67170.640625,
,,,,,,56.5,-1473761.875,44160.50390625,-29715.65234375,44115.54296875,-67012.859375,
,,,,,,56.75,-1666014.875,43814.74609375,-29294.501953125,43744.53515625,-66877.3203125,
,,,,,,57,-1834724,43289.7421875,-28799.8515625,43189.78125,-66671.53125,
,,,,,,57.25,-1978637.125,42574.984375,-28181.701171875,42458.52734375,-66346.75,
,,,,,,57.5,-2097178,41717.98046875,-27477.05078125,41606.51953125,-65918.46875,
,,,,,,57.75,-2190499.25,40733.2265625,-26702.900390625,40647.765625,-65410.93359375,
,,,,,,58,-2257980.5,39663.46875,-25846.25,39610.01171875,-64860.8984375,
,,,,,,58.25,-2299081.5,38590.71484375,-24918.099609375,38554.00390625,-64290.86328125,
,,,,,,58.5,-2315050.5,37525.7109375,-23957.44921875,37486.75,-63673.828125,
,,,,,,58.75,-2307675.5,36430.953125,-23011.298828125,36383.7421875,-63003.29296875,
,,,,,,59,-2277984.75,35286.1953125,-22089.6484375,35244.9921875,-62323.2578125,
,,,,,,59.25,-2227337.75,34097.69140625,-21159.498046875,34077.484375,-61625.4765625,
,,,,,,59.5,-2157915,32929.4375,-20221.34765625,32938.2265625,-60888.6875,
,,,,,,59.75,-2071720,31867.181640625,-19321.697265625,31894.724609375,-60167.15625,
,,,,,,60,-1969677,30914.17578125,-18490.546875,30922.46875,-59516.87109375,
,,,,,,60.25,-1850734.125,30027.169921875,-17757.896484375,29992.212890625,-58948.3359375,
,,,,,,60.5,-1712939.25,29187.1640625,-17172.74609375,29120.70703125,-58429.55078125,
,,,,,,60.75,-1554924.25,28374.16015625,-16762.595703125,28298.203125,-57937.515625,
,,,,,,61,-1376193.375,27553.154296875,-16473.4453125,27485.197265625,-57471.234375,
,,,,,,61.25,-1178198.5,26733.6484375,-16209.794921875,26681.19140625,-57005.6953125,
,,,,,,61.5,-965339.5625,26014.142578125,-15970.14453125,25967.4375,-56533.1640625,
,,,,,,61.75,-743836.625,25509.13671875,-15839.494140625,25450.681640625,-56091.625,
,,,,,,62,-519997.75,25261.130859375,-15910.34375,25194.42578125,-55727.09375,
