Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
,,,,,,57.75,-69271.69531,21932.46289,-5792.560547,21871.6875,-26369.75781
,,,,,,58,-68856.07813,21818.9668,-5746.706055,21742.20117,-26034.03125
,,,,,,58.25,-68536.46094,21723.47266,-5712.851563,21640.71484,-25694.30469
,,,,,,58.5,-68344.84375,21613.97852,-5660.99707,21543.22852,-25354.57813
,,,,,,58.75,-68313.22656,21490.48242,-5572.142578,21429.74219,-25016.85156
,,,,,,59,-68377.60938,21362.98828,-5451.288086,21316.25586,-24665.125
,,,,,,59.25,-68505.99219,21239.49414,-5335.433594,21210.76953,-24317.39844
,,,,,,59.5,-68698.375,21127.99805,-5241.579102,21113.2832,-24009.67188
,,,,,,59.75,-68986.75781,21036.50391,-5148.724121,21023.79688,-23755.94531
,,,,,,60,-69275.14063,20977.00977,-5036.869629,20962.31055,-23552.21875
,,,,,,60.25,-69595.52344,20945.51367,-4915.015137,20928.82422,-23396.49219
,,,,,,60.5,-69883.90625,20916.01953,-4788.160645,20889.33789,-23254.76758
,,,,,,60.75,-70268.28906,20850.52539,-4643.306152,20815.85156,-23089.04102
,,,,,,61,-70716.67188,20767.0293,-4475.451172,20738.36523,-22893.31445
,,,,,,61.25,-71229.05469,20709.53516,-4315.59668,20698.87891,-22689.58789
,,,,,,61.5,-71837.4375,20696.04102,-4182.742188,20699.39258,-22529.86133
,,,,,,61.75,-72573.82031,20700.54492,-4089.887695,20711.90625,-22436.13477
,,,,,,62,-73406.20313,20705.05078,-4039.033203,20716.41797,-22366.4082
,,,,,,62.25,-74270.58594,20701.55469,-4007.178711,20704.93164,-22290.68164
,,,,,,62.5,-75102.96875,20694.06055,-3972.324219,20671.44531,-22256.95508
,,,,,,62.75,-75903.35156,20668.56641,-3937.469727,20619.95898,-22309.22852
,,,,,,63,-76671.73438,20603.07031,-3907.615234,20548.47266,-22413.50391
,,,,,,63.25,-77408.11719,20487.57617,-3885.760742,20454.98633,-22513.77734
,,,,,,63.5,-78080.5,20352.08203,-3862.905762,20337.5,-22598.05078
,,,,,,63.75,-78688.88281,20224.58594,-3825.05127,20222.01367,-22668.32422
,,,,,,64,-79297.26563,20103.0918,-3777.196777,20112.52734,-22716.59766
,,,,,,64.25,-79873.64844,19963.59766,-3735.342285,19983.04102,-22712.87109
,,,,,,64.5,-80450.03125,19790.10156,-3706.487793,19801.55469,-22641.14453
,,,,,,64.75,-80994.41406,19584.60742,-3693.633301,19586.06836,-22509.41797
,,,,,,65,-81538.79688,19389.11328,-3686.778809,19392.58203,-22389.69141
,,,,,,65.25,-82019.17969,19235.61719,-3682.924316,19243.0957,-22369.96484
,,,,,,65.5,-82339.5625,19100.12305,-3692.069824,19111.60938,-22454.23828
,,,,,,65.75,-82595.94531,18946.62891,-3703.215332,18960.12305,-22562.51367
,,,,,,66,-82852.32813,18779.13281,-3697.360352,18774.63672,-22642.78711
,,,,,,66.25,-83236.71094,18607.63867,-3671.505859,18569.15039,-22703.06055
,,,,,,66.5,-83589.09375,18412.14258,-3640.651367,18357.66406,-22751.33398
,,,,,,66.75,-83877.47656,18180.64844,-3604.796875,18142.17773,-22801.60742
,,,,,,67,-84069.85938,17949.1543,-3573.942383,17922.69141,-22873.88086
,,,,,,67.25,-84230.24219,17733.6582,-3571.087891,17695.20508,-22988.1543
,,,,,,67.5,-84358.625,17526.16406,-3613.233398,17471.71875,-23134.42773
,,,,,,67.75,-84551.00781,17320.66992,-3693.378906,17268.23242,-23290.70117
,,,,,,68,-84711.39063,17133.17383,-3770.524414,17084.74609,-23468.97461
,,,,,,68.25,-84807.77344,16979.67969,-3804.669922,16933.25977,-23689.25
,,,,,,68.5,-84776.15625,16850.18555,-3792.814941,16807.77344,-23903.52344
,,,,,,68.75,-84648.53906,16710.68945,-3751.960449,16682.28711,-24053.79688
