Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
,,,,,,36.75,-504623.5938,29037.93359,-23554.11328,28964.5,-40627.65625
,,,,,,37,-503827.9688,29066.41797,-23512.86914,28992.99023,-40725.78516
,,,,,,37.25,-503080.3125,29082.90234,-23481.625,29024.48047,-40840.91406
,,,,,,37.5,-502364.6875,29053.38672,-23427.38086,29013.9707,-40919.53906
,,,,,,37.75,-501681.0625,28895.86914,-23246.13672,28870.46094,-40888.66797
,,,,,,38,-501013.4375,28608.35352,-22879.89453,28573.95117,-40775.79688
,,,,,,38.25,-500425.8125,28244.83789,-22378.65039,28189.44141,-40605.42188
,,,,,,38.5,-499902.1563,27803.32227,-21807.40625,27732.92969,-40330.54688
,,,,,,38.75,-499394.5313,27271.80664,-21210.16211,27188.41992,-39968.17969
,,,,,,39,-498806.9063,26713.29102,-20640.91797,26616.91016,-39596.80469
,,,,,,39.25,-498171.2813,26181.77539,-20140.67383,26080.40039,-39246.42969
,,,,,,39.5,-497487.625,25674.25977,-19703.43164,25583.89063,-38897.55859
,,,,,,39.75,-496740,25199.74414,-19303.1875,25131.38086,-38524.6875
,,,,,,40,-495928.375,24766.22852,-18927.94336,24711.87109,-38104.3125
,,,,,,40.25,-495148.75,24367.71289,-18565.69922,24303.36133,-37642.94141
,,,,,,40.5,-494465.125,24003.19531,-18197.45508,23925.84961,-37216.06641
,,,,,,40.75,-493877.4688,23647.67969,-17802.21289,23581.33984,-36872.19531
,,,,,,41,-493353.8438,23260.16406,-17370.96875,23210.83008,-36583.32031
,,,,,,41.25,-492862.2188,22837.64844,-16901.72461,22782.32031,-36306.94922
,,,,,,41.5,-492370.5625,22415.13281,-16389.48047,22342.81055,-36030.57813
,,,,,,41.75,-491926.9375,22002.61719,-15837.23633,21914.30078,-35772.70313
,,,,,,42,-491515.3125,21552.10156,-15245.99316,21460.78906,-35516.83203
,,,,,,42.25,-491199.6875,21006.58594,-14625.74902,20932.28125,-35218.46094
